Country Code,2016_owner_occupied_housing,2016_overburden_rate,2016_total_outstanding_residential_loans_to_GDP,2016_social_hosuing_stock,2016_real_estate_tax_to_GDP,2016_dealing_with_construction_permits_score_2006M,2016_dealing_with_construction_permits_score_2015M
BDI,,,,,,..,48.3
KHM,,,,,,..,40.8
CAF,,,,,,..,34.1
TCD,,,,,,..,50.4
CHN,,,,,,..,39.6
COM,,,,,,..,66.5
COG,,,,,,..,62.4
DJI,,,,,,..,65.3
DMA,,,,,,..,70.1
EGY,,,,,,..,70.9
GNQ,,,,,,..,55.1
ERI,,,,,,..,0
ETH,,,,,,..,44.8
FJI,,,,,,..,67.6
GAB,,,,,,..,50.3
GMB,,,,,,..,55.7
GEO,,,,,,..,77.4
GHA,,,,,,..,58.5
GRD,,,,,,..,62
GIN,,,,,,..,50.9
GNB,,,,,,..,45.2
GUY,,,,,,..,52
HTI,,,,,,..,44.2
HKG,,,,,,..,91.2
IND,,,,,,..,35.9
IRN,,,,,,..,73.2
IRQ,,,,,,..,62.3
JOR,,,,,,..,65.1
KIR,,,,,,..,44.8
XKX,,,,,,..,49.4
KWT,,,,,,..,62.3
KGZ,,,,,,..,68.4
LAO,,,,,,..,65.5
LBN,,,,,,..,55.1
LSO,,,,,,..,47.3
LBR,,,,,,..,28.9
LBY,,,,,,..,0
LIE,,,,,,..,..
MDG,,,,,,..,32.6
MWI,,,,,,..,58.2
MDV,,,,,,..,72.9
MLI,,,,,,..,57.6
MHL,,,,,,..,70.7
MRT,,,,,,..,64
FSM,,,,,,..,61.1
MDA,,,,,,..,47.5
MNG,,,,,,..,78.2
MOZ,,,,,,..,73
MMR,,,,,,..,68.9
NAM,,,,,,..,69.5
NPL,,,,,,..,70.2
NGA,,,,,,..,55.5
OMN,,,,,,..,75.3
PAK,,,,,,..,53.3
PLW,,,,,,..,61.7
PNG,,,,,,..,63.6
PRI,,,,,,..,59.4
QAT,,,,,,..,84.2
WSM,,,,,,..,68.7
SMR,,,,,,..,65.9
SAU,,,,,,..,77.3
SYC,,,,,,..,63.8
SLE,,,,,,..,43.1
SLB,,,,,,..,48.2
SOM,,,,,,..,0
SSD,,,,,,..,49.6
LKA,,,,,,..,69.3
KNA,,,,,,..,73.3
LCA,,,,,,..,76.2
VCT,,,,,,..,74.4
SDN,,,,,,..,63.8
SUR,,,,,,..,66.4
SYR,,,,,,..,0
STP,,,,,,..,62.2
TWN,,,,,,..,86.3
TJK,,,,,,..,59.9
TZA,,,,,,..,51
THA,,,,,,..,71.7
TLS,,,,,,..,55.6
TON,,,,,,..,76.5
UGA,,,,,,..,61.3
UKR,,,,,,..,60.2
ARE,,,,,,..,85.8
UZB,,,,,,..,54.7
VUT,,,,,,..,53.6
VNM,,,,,,..,78.9
PSE,,,,,,..,49.1
YEM,,,,,,..,69
ZMB,,,,,,..,71.7
ZWE,,,,,,..,36.7
