Country Code,2015_owner_occupied_housing,2015_overburden_rate,2015_total_outstanding_residential_loans_to_GDP,2015_social_hosuing_stock,2015_real_estate_tax_to_GDP,2015_dealing_with_construction_permits_score_2006M,2015_dealing_with_construction_permits_score_2015M
PAN,,,,,0.37,70.6,68
PRY,,,,,0.23,76,70.3
PER,,,,,0.4,64.8,68.6
PHL,,,,,0.46,61.6,64.5
RWA,,,,,0.01,65.3,65.6
SEN,,,,,0.39,52,55.6
ZAF,,,,,1.46,64.5,68.4
SWZ,,,,,0.28,75.9,68.6
TGO,,,,,0.18,47.4,39.7
TTO,,,,,0.25,63.3,64.1
TUN,,,,,0.33,71.5,73.7
URY,,,,,2.23,57.1,56.2
VEN,,,,,0.04,55.2,58.9
AFG,,,,,,39.4,33.7
ALB,,,,,,44.5,53.4
DZA,,,,,,50.5,57.9
AGO,,,,,,69.7,62.3
ATG,,,,,,67.1,65.4
ARM,,,,,,67.1,63.6
AZE,,,,,,52.7,59.5
BHR,,,,,,72.7,74.5
BGD,,,,,,56.8,59.3
BLR,,,,,,65.9,71.1
BEN,,,,,,70.3,65.2
BTN,,,,,,63,67.2
BIH,,,,,,35.9,48.6
BWA,,,,,,70,70
BRN,,,,,,71.1,71.7
BFA,,,,,,62.2,66.6
BDI,,,,,,57.7,48.3
KHM,,,,,,35.5,40
CAF,,,,,,32.1,34.1
TCD,,,,,,41.7,50.4
CHN,,,,,,30.7,38
COM,,,,,,79.9,66.6
COG,,,,,,62,62.3
DJI,,,,,,60.7,63.9
DMA,,,,,,75.6,70.1
EGY,,,,,,63,70.6
GNQ,,,,,,71.2,55.1
ERI,,,,,,0,0
ETH,,,,,,45.5,45.8
FJI,,,,,,74.6,67.6
GAB,,,,,,70.5,61.2
GMB,,,,,,66.4,55.6
GEO,,,,,,87.6,77.4
GHA,,,,,,58.7,57.3
GRD,,,,,,71.3,61.8
GIN,,,,,,47.7,50
GNB,,,,,,44.8,45.2
GUY,,,,,,60.2,51.8
HTI,,,,,,47.8,44.2
HKG,,,,,,88.3,91.2
IND,,,,,,22.4,35.9
IRN,,,,,,62.4,69.3
IRQ,,,,,,70.8,62.3
JOR,,,,,,61.7,64.6
KIR,,,,,,47.8,45.9
XKX,,,,,,45.5,49.1
KWT,,,,,,52.8,62.9
KGZ,,,,,,66.2,68
LAO,,,,,,72.1,64.9
LBN,,,,,,42.4,55.2
LSO,,,,,,52.8,47.1
LBR,,,,,,34.1,28.9
LBY,,,,,,0,0
LIE,,,,,,..,..
MDG,,,,,,34.5,32.6
MWI,,,,,,50.3,53.5
MDV,,,,,,83.5,74.3
MLI,,,,,,56,56.2
MHL,,,,,,92.1,70.7
MRT,,,,,,71.3,63.5
FSM,,,,,,81.4,61.1
MDA,,,,,,36.3,47.2
MNG,,,,,,73.2,78.2
MOZ,,,,,,70.2,71
MMR,,,,,,69.1,66.9
NAM,,,,,,74.5,70
NPL,,,,,,71.7,68.8
NGA,,,,,,51.3,55.4
OMN,,,,,,76.3,75.6
PAK,,,,,,44.7,53.5
PLW,,,,,,66.7,61.7
PNG,,,,,,62.1,63.3
PRI,,,,,,52.6,59.4
QAT,,,,,,80.5,80.3
WSM,,,,,,78,68.5
SMR,,,,,,59,65.9
SAU,,,,,,76.4,77.3
SYC,,,,,,73.9,63.7
SLE,,,,,,40.6,42.1
SLB,,,,,,47.7,48.2
SOM,,,,,,..,..
SSD,,,,,,54,52.2
LKA,,,,,,74.9,65.4
KNA,,,,,,82.2,73.3
LCA,,,,,,78.2,76.2
VCT,,,,,,81.4,74.4
SDN,,,,,,54.5,60.9
SUR,,,,,,74.1,66.4
SYR,,,,,,0,0
STP,,,,,,76.1,62
TWN,,,,,,86.1,86.3
TJK,,,,,,52.3,59.2
TZA,,,,,,38,48.5
THA,,,,,,69.6,70.5
TLS,,,,,,67.5,55.6
TON,,,,,,75.6,76.7
UGA,,,,,,53.2,58.3
UKR,,,,,,62,59.8
ARE,,,,,,86.4,84.8
UZB,,,,,,48.2,54.5
VUT,,,,,,59.6,53.1
VNM,,,,,,78.7,79
PSE,,,,,,37.4,48
YEM,,,,,,75.4,69
ZMB,,,,,,72,70.7
ZWE,,,,,,26.7,36.7
